area_name,area_code,year_by_year_growth,claimant_count_rate,cases_per_1000000,prop_of_residence,aver_num_of_open_space,still_eco_secure,sales_Oct20
Barking and Dagenham,E09000002,1.31,10.1,"7,150.60",66.8,4.51,30,100
Barnet,E09000003,2.01,7.3,"4,906.90",68.1,5.22,39,197
Bexley,E09000004,3.4,5.7,"6,284.70",55.5,4.23,47,225
Brent,E09000005,4.82,10.3,"4,964.10",66.6,4.58,26,121
Bromley,E09000006,2.69,5.5,"5,074.70",62.9,5.62,48,315
Camden,E09000007,6.52,5.8,"3,427.40",59.4,9.65,50,109
Croydon,E09000008,5.78,9.2,"4,929.80",70,4.92,45,277
Ealing,E09000009,8.59,9.6,"5,203.20",62.8,6.54,32,168
Enfield,E09000010,2.66,9,"6,110.40",67.9,6.02,34,137
Greenwich,E09000011,1.26,8.2,"4,858.60",75.1,5.3,44,152
Hackney,E09000012,0.5,9.2,"5,018.20",72.2,8.43,41,103
Hammersmith and Fulham,E09000013,-0.42,8.1,"4,471.70",74.7,5.66,44,120
Haringey,E09000014,4.24,10.7,"5,044.90",74.7,8.45,36,137
Harrow,E09000015,1.17,7,"5,157.70",61,4.67,28,113
Havering,E09000016,1.13,6.4,"7,657.80",58.6,4.44,44,191
Hillingdon,E09000017,3.93,7.2,"5,190.50",60.5,5.07,38,172
Hounslow,E09000018,3.56,9.2,"5,246",69.1,5.28,31,123
Islington,E09000019,7.46,7.3,"4,112.70",69.8,11.79,50,93
Kensington and Chelsea,E09000020,9.32,5.8,"3,731.50",72.3,6.1,47,77
Kingston upon Thames,E09000021,6.79,5.2,"4,648.30",59.8,4.17,51,139
Lambeth,E09000022,3.97,8.7,"4,603.20",73.2,6.75,47,200
Lewisham,E09000023,4.57,9.3,"4,435.60",72.2,6.29,50,218
Merton,E09000024,10.34,7.1,"4,961.60",68.6,7.57,47,135
Newham,E09000025,1.35,10,"6,389.60",69.6,5.38,28,97
Redbridge,E09000026,4.23,7.8,"7,466",61.8,4.44,34,141
Richmond upon Thames,E09000027,7.59,4.8,"3,665.30",63.9,6.43,56,188
Southwark,E09000028,-0.18,8.6,"4,464.10",72.6,12.01,50,184
Sutton,E09000029,4.13,5.6,"4,942.60",67.2,5.84,47,155
Tower Hamlets,E09000030,4.01,8.7,"6,146.10",69.1,12.71,43,132
Waltham Forest,E09000031,5.63,9.6,"6,053.40",70.6,5.93,30,162
Wandsworth,E09000032,6.25,5.8,"4,367.30",73,5.26,54,289
Westminster,E09000033,0.26,5.4,"3,480.40",50.6,8.05,45,119
